,date,value
0,2015-07-31,0.0
1,2015-08-01,0.0
2,2015-08-02,0.0
3,2015-08-03,0.0
4,2015-08-04,0.0
5,2015-08-05,0.0
6,2015-08-06,0.0
7,2015-08-07,0.0
8,2015-08-08,2.773
9,2015-08-09,0.8076
10,2015-08-10,0.7428
11,2015-08-11,0.6846
12,2015-08-12,1.059
13,2015-08-13,1.252
14,2015-08-14,1.781
15,2015-08-15,1.801
16,2015-08-16,1.656
17,2015-08-17,1.437
18,2015-08-18,1.195
19,2015-08-19,1.271
20,2015-08-20,1.263
21,2015-08-21,1.481
22,2015-08-22,1.438
23,2015-08-23,1.387
24,2015-08-24,1.347
25,2015-08-25,1.244
26,2015-08-26,1.166
27,2015-08-27,1.158
28,2015-08-28,1.132
29,2015-08-29,1.186
30,2015-08-30,1.18
31,2015-08-31,1.327
32,2015-09-01,1.351
33,2015-09-02,1.35
34,2015-09-03,1.288
35,2015-09-04,1.259
36,2015-09-05,1.273
37,2015-09-06,1.32
38,2015-09-07,1.301
39,2015-09-08,1.242
40,2015-09-09,1.23
41,2015-09-10,1.207
42,2015-09-11,1.162
43,2015-09-12,0.9754
44,2015-09-13,1.041
45,2015-09-14,0.9378
46,2015-09-15,0.8743
47,2015-09-16,0.9436
48,2015-09-17,0.903
49,2015-09-18,0.8853
50,2015-09-19,0.8501
51,2015-09-20,0.8882
52,2015-09-21,0.9403
53,2015-09-22,0.9019
54,2015-09-23,0.8963
55,2015-09-24,0.895
56,2015-09-25,0.8142
57,2015-09-26,0.7408
58,2015-09-27,0.779
59,2015-09-28,0.7219
60,2015-09-29,0.5879
61,2015-09-30,0.6816
62,2015-10-01,0.7177
63,2015-10-02,0.6818
64,2015-10-03,0.6758
65,2015-10-04,0.6866
66,2015-10-05,0.6661
67,2015-10-06,0.6287
68,2015-10-07,0.6555
69,2015-10-08,0.6116
70,2015-10-09,0.6205
71,2015-10-10,0.6489
72,2015-10-11,0.6269
73,2015-10-12,0.6342
74,2015-10-13,0.6274
75,2015-10-14,0.6033
76,2015-10-15,0.5112
77,2015-10-16,0.559
78,2015-10-17,0.5318
79,2015-10-18,0.5472
80,2015-10-19,0.5173
81,2015-10-20,0.4891
82,2015-10-21,0.4356
83,2015-10-22,0.4405
84,2015-10-23,0.5875
85,2015-10-24,0.5198
86,2015-10-25,0.5739
87,2015-10-26,0.6511
88,2015-10-27,0.7417
89,2015-10-28,0.8692
90,2015-10-29,1.008
91,2015-10-30,1.164
92,2015-10-31,1.039
93,2015-11-01,0.8929
94,2015-11-02,1.05
95,2015-11-03,0.9639
96,2015-11-04,0.9956
97,2015-11-05,0.8679
98,2015-11-06,0.8898
99,2015-11-07,0.9168
100,2015-11-08,0.9165
101,2015-11-09,1.019
102,2015-11-10,1.001
103,2015-11-11,0.9232
104,2015-11-12,0.7798
105,2015-11-13,0.8924
106,2015-11-14,0.8922
107,2015-11-15,0.8855
108,2015-11-16,0.9006
109,2015-11-17,0.9375
110,2015-11-18,0.9951
111,2015-11-19,0.9943
112,2015-11-20,0.9502
113,2015-11-21,0.93
114,2015-11-22,0.9712
115,2015-11-23,0.9616
116,2015-11-24,0.9425
117,2015-11-25,0.9098
118,2015-11-26,0.863
119,2015-11-27,0.8826
120,2015-11-28,0.8679
121,2015-11-29,0.9148
122,2015-11-30,0.8692
123,2015-12-01,0.875
124,2015-12-02,0.8719
125,2015-12-03,0.8254
126,2015-12-04,0.8226
127,2015-12-05,0.8412
128,2015-12-06,0.8519
129,2015-12-07,0.8363
130,2015-12-08,0.7957
131,2015-12-09,0.8283
132,2015-12-10,0.7896
133,2015-12-11,0.8426
134,2015-12-12,0.9069
135,2015-12-13,0.9709
136,2015-12-14,0.9554
137,2015-12-15,0.9888
138,2015-12-16,1.013
139,2015-12-17,0.9897
140,2015-12-18,0.9361
141,2015-12-19,0.9148
142,2015-12-20,0.9003
143,2015-12-21,0.903
144,2015-12-22,0.8918
145,2015-12-23,0.8671
146,2015-12-24,0.8508
147,2015-12-25,0.8548
148,2015-12-26,0.8659
149,2015-12-27,0.8511
150,2015-12-28,0.8511
151,2015-12-29,0.8418
152,2015-12-30,0.8686
153,2015-12-31,0.9038
154,2016-01-01,0.9296
155,2016-01-02,0.9339
156,2016-01-03,0.9316
157,2016-01-04,0.9695
158,2016-01-05,0.9516
159,2016-01-06,0.9504
160,2016-01-07,0.9551
161,2016-01-08,0.9493
162,2016-01-09,0.9854
163,2016-01-10,0.9849
164,2016-01-11,0.9941
165,2016-01-12,1.045
166,2016-01-13,1.151
167,2016-01-14,1.131
168,2016-01-15,1.163
169,2016-01-16,1.217
170,2016-01-17,1.217
171,2016-01-18,1.307
172,2016-01-19,1.397
173,2016-01-20,1.365
174,2016-01-21,1.527
175,2016-01-22,1.554
176,2016-01-23,1.488
177,2016-01-24,2.014
178,2016-01-25,2.118
179,2016-01-26,2.47
180,2016-01-27,2.173
181,2016-01-28,2.407
182,2016-01-29,2.518
183,2016-01-30,2.487
184,2016-01-31,2.428
185,2016-02-01,2.345
186,2016-02-02,2.219
187,2016-02-03,2.409
188,2016-02-04,2.509
189,2016-02-05,2.578
190,2016-02-06,2.534
191,2016-02-07,2.53
192,2016-02-08,2.955
193,2016-02-09,3.199
194,2016-02-10,3.719
195,2016-02-11,4.453
196,2016-02-12,5.984
197,2016-02-13,5.503
198,2016-02-14,5.227
199,2016-02-15,5.126
200,2016-02-16,5.27
201,2016-02-17,4.337
202,2016-02-18,3.7
203,2016-02-19,4.328
204,2016-02-20,4.485
205,2016-02-21,4.293
206,2016-02-22,4.69
207,2016-02-23,5.643
208,2016-02-24,5.601
209,2016-02-25,6.142
210,2016-02-26,5.933
211,2016-02-27,5.935
212,2016-02-28,6.349
213,2016-02-29,6.439
214,2016-03-01,6.299
215,2016-03-02,7.626
216,2016-03-03,8.409
217,2016-03-04,9.482
218,2016-03-05,10.05
219,2016-03-06,11.07
220,2016-03-07,11.11
221,2016-03-08,9.438
222,2016-03-09,9.725
223,2016-03-10,11.9
224,2016-03-11,11.18
225,2016-03-12,11.21
226,2016-03-13,13.37
227,2016-03-14,14.96
228,2016-03-15,12.52
229,2016-03-16,12.89
230,2016-03-17,12.84
231,2016-03-18,10.98
232,2016-03-19,10.72
233,2016-03-20,10.44
234,2016-03-21,10.13
235,2016-03-22,11.89
236,2016-03-23,11.25
237,2016-03-24,12.38
238,2016-03-25,11.12
239,2016-03-26,10.63
240,2016-03-27,11.03
241,2016-03-28,10.35
242,2016-03-29,11.66
243,2016-03-30,11.74
244,2016-03-31,11.8
245,2016-04-01,11.34
246,2016-04-02,11.62
247,2016-04-03,11.53
248,2016-04-04,11.53
249,2016-04-05,11.12
250,2016-04-06,10.35
251,2016-04-07,10.72
252,2016-04-08,10.03
253,2016-04-09,9.72
254,2016-04-10,9.164
255,2016-04-11,8.803
256,2016-04-12,8.656
257,2016-04-13,7.509
258,2016-04-14,8.004
259,2016-04-15,8.396
